epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5458.38,0.60695,0.36291,0.09835,0.34311,1.00151,0.97536,0.98923,0.99156,0.83947,0.94698,0.92239,0.94045,0.8668,0.69916,0.79938,0.06759,0.31334,1.07851,0.000333058,0.000333058,0.000333058
66,5538.42,0.59515,0.35755,0.09563,0.34022,1.00059,0.98081,0.98746,0.99183,0.83931,0.94326,0.92917,0.93295,0.84778,0.69083,0.80054,0.06827,0.30769,1.07307,0.000324058,0.000324058,0.000324058
67,5596.55,0.59549,0.39071,0.10063,0.34074,0.99735,0.97549,0.9899,0.99171,0.8415,0.94249,0.92655,0.93708,0.8651,0.6892,0.82187,0.07418,0.30609,1.07455,0.000315059,0.000315059,0.000315059
68,5649.17,0.59276,0.37399,0.09333,0.33403,0.99536,0.98899,0.98182,0.9939,0.84778,0.94504,0.92675,0.93975,0.86026,0.68876,0.81842,0.08009,0.30746,1.06897,0.00030606,0.00030606,0.00030606
69,5750.47,0.58778,0.3991,0.09648,0.3349,0.98982,0.97812,0.99001,0.99162,0.83797,0.94233,0.92383,0.92809,0.85853,0.69357,0.80345,0.08326,0.30826,1.07698,0.000297061,0.000297061,0.000297061
70,5804.47,0.58802,0.36741,0.08807,0.33686,0.99461,0.97572,0.98782,0.99334,0.84665,0.95351,0.92496,0.9474,0.87522,0.68381,0.80051,0.08078,0.29913,1.07221,0.000288062,0.000288062,0.000288062
71,5856.95,0.58216,0.35021,0.09207,0.33068,0.99341,0.99103,0.97724,0.99366,0.84535,0.95225,0.9261,0.94487,0.8539,0.67643,0.80889,0.10549,0.30041,1.0692,0.000279063,0.000279063,0.000279063
72,5907.2,0.56914,0.34161,0.09374,0.32986,0.98663,0.98798,0.97743,0.99353,0.84781,0.95325,0.92521,0.94144,0.87197,0.6829,0.80566,0.06965,0.30137,1.07228,0.000270064,0.000270064,0.000270064
73,5956.86,0.57071,0.37443,0.08616,0.32584,0.98573,0.98033,0.98684,0.99186,0.84474,0.94306,0.92075,0.92624,0.85319,0.68064,0.80112,0.061,0.29839,1.06931,0.000261065,0.000261065,0.000261065
74,6006.06,0.576,0.36047,0.08771,0.32813,0.99298,0.99053,0.97365,0.99158,0.84018,0.94754,0.92185,0.93443,0.86898,0.69105,0.80358,0.08311,0.30119,1.07572,0.000252066,0.000252066,0.000252066
75,6053.92,0.56366,0.33091,0.08733,0.32074,0.98291,0.9896,0.98102,0.99307,0.84868,0.95524,0.92541,0.94534,0.88148,0.67967,0.7742,0.07575,0.29724,1.07218,0.000243067,0.000243067,0.000243067
76,6108.38,0.55381,0.32015,0.09155,0.31305,0.98067,0.98724,0.97399,0.99349,0.84476,0.94711,0.9297,0.93872,0.86182,0.67446,0.7769,0.071,0.29666,1.07226,0.000234068,0.000234068,0.000234068
77,6158.59,0.55488,0.31111,0.08628,0.31579,0.9846,0.98722,0.97958,0.9923,0.84233,0.9421,0.92971,0.93203,0.85229,0.68717,0.76214,0.06967,0.29985,1.07206,0.000225068,0.000225068,0.000225068
78,6208.82,0.5455,0.3178,0.08898,0.30792,0.97862,0.98548,0.97963,0.99323,0.84711,0.94535,0.92471,0.94454,0.87285,0.67624,0.75311,0.07344,0.29779,1.07126,0.000216069,0.000216069,0.000216069
79,6258.92,0.54871,0.33239,0.08465,0.31466,0.98135,0.98048,0.98466,0.99178,0.84323,0.9377,0.92648,0.92725,0.85089,0.67302,0.76292,0.06484,0.29562,1.07241,0.00020707,0.00020707,0.00020707
80,6309.14,0.53693,0.33497,0.08259,0.30779,0.97161,0.98135,0.9897,0.99181,0.84249,0.9389,0.92468,0.92722,0.84863,0.67686,0.76611,0.06806,0.29193,1.07161,0.000198071,0.000198071,0.000198071
81,6413.03,0.53914,0.2934,0.08175,0.30962,0.97596,0.98906,0.98279,0.99353,0.84221,0.93474,0.92759,0.93065,0.86567,0.6776,0.75399,0.06371,0.29332,1.07555,0.000189072,0.000189072,0.000189072
82,6676.26,0.53325,0.34341,0.08865,0.30693,0.9737,0.98303,0.98913,0.99053,0.8384,0.93981,0.92984,0.92754,0.85552,0.67242,0.75212,0.0686,0.29614,1.07454,0.000180073,0.000180073,0.000180073
83,6723.83,0.53356,0.28556,0.08071,0.30574,0.97306,0.99028,0.97644,0.99343,0.84346,0.94997,0.92614,0.93569,0.86717,0.67797,0.76662,0.07895,0.28988,1.07491,0.000171074,0.000171074,0.000171074
84,6829.15,0.5324,0.29533,0.08127,0.30261,0.97488,0.97968,0.99126,0.99362,0.84743,0.95063,0.92826,0.93807,0.87178,0.68003,0.75901,0.07054,0.29354,1.07785,0.000162075,0.000162075,0.000162075
85,6876.78,0.52477,0.29112,0.08403,0.29857,0.97009,0.98194,0.98544,0.99285,0.84166,0.94558,0.92404,0.94142,0.86743,0.67389,0.75695,0.06534,0.29403,1.07682,0.000153076,0.000153076,0.000153076
