epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,722.657,0.80402,0.83286,0.17185,0.46797,0.87151,0.98781,0.98564,0.99145,0.77637,0.94973,0.94797,0.94358,0.79761,0.88317,1.22238,0.05044,0.45853,0.87528,0.000387052,0.000387052,0.000387052
60,755.225,0.82967,0.81644,0.17201,0.47608,0.87222,0.9902,0.98417,0.991,0.77559,0.94627,0.94143,0.93502,0.79859,0.88502,1.22079,0.04842,0.47013,0.87727,0.000378053,0.000378053,0.000378053
61,787.868,0.82186,0.80989,0.17477,0.4743,0.87884,0.98933,0.98613,0.99145,0.77701,0.94194,0.94439,0.9392,0.79304,0.88438,1.24347,0.04957,0.45679,0.87636,0.000369054,0.000369054,0.000369054
62,820.396,0.81051,0.76829,0.15559,0.46747,0.87207,0.98885,0.98703,0.99108,0.77937,0.94896,0.94774,0.94219,0.80608,0.89442,1.20853,0.04798,0.45331,0.87363,0.000360055,0.000360055,0.000360055
63,850.755,0.81717,0.81229,0.18477,0.46467,0.86732,0.9914,0.98854,0.99209,0.78152,0.9441,0.94329,0.93553,0.79935,0.88696,1.23828,0.04613,0.44327,0.87321,0.000351056,0.000351056,0.000351056
64,880.788,0.80154,0.81813,0.16525,0.46064,0.86488,0.98816,0.98775,0.99099,0.779,0.94059,0.94158,0.93808,0.79542,0.88895,1.20855,0.04637,0.45366,0.87625,0.000342057,0.000342057,0.000342057
65,910.637,0.80466,0.81472,0.16597,0.46678,0.87558,0.99127,0.98366,0.99086,0.77692,0.94467,0.94139,0.9376,0.80842,0.87237,1.1912,0.04722,0.44907,0.87422,0.000333058,0.000333058,0.000333058
66,940.003,0.81198,0.81084,0.1596,0.46486,0.87331,0.98727,0.9847,0.98994,0.77839,0.94345,0.94304,0.9384,0.80519,0.88659,1.19633,0.04796,0.44607,0.87528,0.000324058,0.000324058,0.000324058
67,970.382,0.80277,0.84578,0.18042,0.45724,0.87018,0.98675,0.98833,0.99112,0.78109,0.94246,0.94258,0.93445,0.80254,0.88751,1.24165,0.0447,0.44825,0.87604,0.000315059,0.000315059,0.000315059
68,1000.23,0.79847,0.73209,0.1768,0.4582,0.8701,0.99173,0.98501,0.99143,0.77803,0.9498,0.94385,0.94288,0.81739,0.88902,1.19831,0.0479,0.44372,0.87354,0.00030606,0.00030606,0.00030606
69,1035.25,0.78583,0.69838,0.15502,0.4477,0.86057,0.98961,0.98616,0.99273,0.77657,0.94682,0.94111,0.93833,0.81052,0.88045,1.19535,0.04585,0.44735,0.87396,0.000297061,0.000297061,0.000297061
70,1069.35,0.78346,0.8257,0.16117,0.44566,0.87017,0.9901,0.98999,0.99157,0.77948,0.9443,0.94563,0.93485,0.80632,0.888,1.2197,0.0431,0.44441,0.8734,0.000288062,0.000288062,0.000288062
71,1102.63,0.78928,0.66261,0.16577,0.43859,0.8696,0.99166,0.98861,0.99013,0.78478,0.94791,0.9454,0.9346,0.80475,0.87135,1.21343,0.04575,0.43473,0.87293,0.000279063,0.000279063,0.000279063
72,1136.56,0.77748,0.70575,0.1631,0.44692,0.86906,0.99097,0.9894,0.99171,0.78208,0.94109,0.94327,0.92842,0.81507,0.8728,1.18832,0.04465,0.43618,0.86994,0.000270064,0.000270064,0.000270064
73,1169.81,0.77689,0.75399,0.15934,0.43498,0.85845,0.99001,0.98932,0.99178,0.78295,0.94575,0.94719,0.93496,0.81369,0.86795,1.18655,0.04367,0.42914,0.86855,0.000261065,0.000261065,0.000261065
74,1202.76,0.77773,0.77469,0.17551,0.44378,0.87135,0.99247,0.98673,0.98987,0.77892,0.94537,0.94376,0.93472,0.81114,0.87603,1.19832,0.04317,0.43629,0.87056,0.000252066,0.000252066,0.000252066
